Municipality,HINDI,Website,Updated,Clerk,Deputy_Clerk,Address,Address_Mailing,Phone_1,Fax
VILLAGE OF DENMARK BROWN COUNTY,05116,http://www.denmark-wi.org/,7/23/2019,SHERRI KONKOL,KIM COOKLE,"118 MAIN ST, DENMARK, WI 54208-9683","PO BOX 310, DENMARK, WI 54208-0310",920-863-6400,920-863-5169
VILLAGE OF HOBART BROWN COUNTY,05126,http://www.hobart-wi.org,5/16/2018,MARY SMITH,NA,"2990 S PINE TREE RD, HOBART, WI 54155-9041",NA,920-869-3802,920-869-2048
VILLAGE OF HOWARD MULTIPLE COUNTIES,05136,http://www.villageofhoward.com,10/23/2018,CHRISTOPHER A HALTOM,ANNETTE DUPREY,"2456 GLENDALE AVE, GREEN BAY, WI 54313-6502","PO BOX 12207, GREEN BAY, WI 54313-2207",920-434-4640,920-434-4643
VILLAGE OF PULASKI MULTIPLE COUNTIES,05171,http://villageofpulaski.org,6/27/2018,KAREN OSTROWSKI,NA,"585 E GLENBROOK DR, PULASKI, WI 54162-9769","PO BOX 320, PULASKI, WI 54162-0320",920-822-5182,920-822-5632
VILLAGE OF SUAMICO BROWN COUNTY,05178,http://www.suamico.org,11/18/2016,BONNIE SWAN,MELISSA HONGISTO,"12781 VELP AVE, SUAMICO, WI 54313-8030",NA,920-434-2212,920-434-4820
VILLAGE OF WRIGHTSTOWN -,05191,http://www.wrightstown.us,11/30/2017,MICHELLE SEIDL,SHELIA BOWERS,"352 HIGH ST, WRIGHTSTOWN, WI 54180-1130",NA,920-532-5567 EXT 12,920-532-4564
CITY OF DE PERE BROWN COUNTY,05216,https://www.de-pere.org/,3/13/2019,CAREY DANEN,ANN LEDVINA,"335 S Broadway St, De Pere, WI 54115",NA,920-339-4050,920-330-9491
CITY OF GREEN BAY BROWN COUNTY,05231,http://www.greenbaywi.gov,6/19/2018,KRIS TESKE,KIM WAYTE,"100 N JEFFERSON ST RM 106, GREEN BAY, WI 54301-5006",NA,920-448-3010,920-448-3016
TOWN OF ALMA BUFFALO COUNTY,06002,http://www.almawisconsin.com,11/2/2018,MARY LISOWSKI,NA,"S1445 COUNTY ROAD F, ALMA, WI 54610-8317","S1345 COUNTY ROAD NN, ALMA, WI 54610-8367",608-685-3843,NA
TOWN OF BELVIDERE BUFFALO COUNTY,06004,NA,4/18/2018,DEBORAH M. RUFF,NA,"S2050 HICKORY LN, ALMA, WI 54610-8015",NA,608-685-3771,NA
TOWN OF BUFFALO BUFFALO COUNTY,06006,NA,1/19/2018,LISA BRAATEN,NA,"W387 STATE ROAD 35, FOUNTAIN CITY, WI 54629-7219","W394 BLUFF SIDING RD, FOUNTAIN CITY, WI 54629-7328",608-687-7591,NA
TOWN OF CANTON BUFFALO COUNTY,06008,NA,10/7/2019,MINDY FICHTENBAUER,NA,"S290 COUNTY ROAD J, DURAND, WI 54736-8306","W1660 FICHTENBAUER RD, NELSON, WI 54756",715-672-8846,NA
TOWN OF CROSS BUFFALO COUNTY,06010,http://www.townofcross.com,3/19/2019,CARRIE VENNER-ADAMS,NA,"W605 BUEHLER VALLEY RD, FOUNTAIN CITY, WI 54629-7603","S3173 COUNTY ROAD M, FOUNTAIN CITY, WI 54622-9501",608-687-3228,NA
TOWN OF DOVER BUFFALO COUNTY,06012,NA,3/26/2018,JENNIFER SEVERSON,NA,"S1194 THEISEN RIDGE RD, MONDOVI, WI 54755-8359","S891 COUNTY ROAD BB, INDEPENDENCE, WI 54747-8015",715-946-3506,NA
TOWN OF GILMANTON BUFFALO COUNTY,06014,NA,5/17/2019,JESSICA LISOWSKI,NA,"W736 COUNTY ROAD B, MONDOVI, WI 54755-8004","W619 COUNTY ROAD Z, MONDOVI, WI 54755-8309",715-946-3620,NA
TOWN OF GLENCOE BUFFALO COUNTY,06016,NA,1/16/2019,ANNE CORNISH,NA,"W104 STATE HIGHWAY 95, ARCADIA, WI 54612-8735","S2264 H R RD, ARCADIA, WI 54612-8725",608-323-7405,608-323-7405
TOWN OF LINCOLN BUFFALO COUNTY,06018,http://www.bc-lincoln.com,6/18/2018,CAROLYN THOMSEN,NA,"S1491 STATE ROAD 88, ALMA, WI 54610","S1619 COUNTY ROAD XX, ALMA, WI 54610-8130",608-685-4841 EXT,NA
TOWN OF MAXVILLE BUFFALO COUNTY,06020,NA,1/9/2020,BARB TRAUN,NA,"S386 COUNTY ROAD AA, DURAND, WI 54736-8068",NA,715-672-5524,NA
TOWN OF MILTON BUFFALO COUNTY,06022,http://www.townofmiltonwi.com,6/24/2019,KALENE ENGEL,NA,"W823 ENGEL RD, FOUNTAIN CITY, WI 54629-7523",NA,608-687-4800,507-457-0519
TOWN OF MODENA BUFFALO COUNTY,06024,NA,1/19/2018,KAREN BAADER,NA,"W1766 SHOP RD, NELSON, WI 54756-8520",NA,715-673-4958,NA
TOWN OF MONDOVI BUFFALO COUNTY,06026,NA,12/20/2018,ROXANN HALVERSON,NA,"156 S FRANKLIN ST, MONDOVI, WI 54755-1514","W902 COUNTY ROAD TT, MONDOVI, WI 54755",715-495-4140,NA
TOWN OF MONTANA BUFFALO COUNTY,06028,NA,12/8/2017,LEEANNE BULMAN,NA,"S1601 COUNTY ROAD U, INDEPENDENCE, WI 54747","S1646 COUNTY ROAD CC, INDEPENDENCE, WI 54747",608-323-3767,NA
TOWN OF NAPLES BUFFALO COUNTY,06030,NA,5/15/2019,NICOLE D GOODLAND,NA,"S542 MUNSON RD, MONDOVI, WI 54755-7700","W96 GONTY ROAD, MONDOVI, WI 54755",715-829-1643,___-___-____
TOWN OF NELSON BUFFALO COUNTY,06032,NA,1/5/2018,MYRNA JOHNSON,NA,"W2164 County RD D, DURAND, WI 54736-8079","S643 COUNTY ROAD F, DURAND, WI 54736-8079",715-673-4355,NA
TOWN OF WAUMANDEE - BUFFALO COUNTY,06034,NA,11/2/2018,KIM PRONSCHINSKE,NA,"S2053 COUNTY RD E, WAUMANDEE, WI 54622","2053 S COUNTY RD E, WAUMANDEE, WI 54622",608-626-3031,608-626-2241
VILLAGE OF COCHRANE - BUFFALO COUNTY,06111,https://www.cochranewisconsin.com/,10/7/2019,MARCIA DRYSDALE,NA,"102 E 5TH ST, COCHRANE, WI 54622-0222","PO BOX 222, COCHRANE, WI 54622-0222",608-248-2737,608-248-2438
VILLAGE OF NELSON BUFFALO COUNTY,06154,NA,10/24/2017,CINDY HANSON,NA,"105 Main St, Nelson, WI 54756 Mailing Address :PO BOX 131, Nelson, WI 54756-","PO BOX 131, Nelson, WI 54756- 0131",715-673-4748,NA
CITY OF ALMA BUFFALO COUNTY,06201,http://www.almawisconsin.com,1/5/2018,LINDA M. TORGERSON,TERRY L PETERSON,"314 N MAIN ST, ALMA, WI 54610-7713","PO BOX 277, ALMA, WI 54610- 0277",608-685-3330,608-685-3330
CITY OF BUFFALO CITY BUFFALO COUNTY,06206,http://www.oktec.com/buffalo_city,11/2/2018,JENNIFER EHLENFELDT,NA,"245 E 10TH ST, BUFFALO CITY, WI 54622-7324",NA,608-248-2262,608-248-3345
CITY OF FOUNTAIN CITY - BUFFALO COUNTY,06226,https://www.fountaincitywisconsin.com/,12/6/2019,MICHELLE COPLEY,NA,"42 N MAIN ST, FOUNTAIN CITY, WI 54629-8705",NA,608-687-7481,NA
CITY OF MONDOVI BUFFALO COUNTY,06251,https://www.mondovi.com/,10/28/2019,BRADLEY J HANSON,DAWN MOY,"156 S FRANKLIN ST, MONDOVI, WI 54755-1514",NA,715-926-3866,715-926-4261
TOWN OF ANDERSON BURNETT COUNTY,07002,http://townofanderson.com,2/8/2018,CARMEN BOUCHIE,NA,"13808 Anderson Road, Grantsburg, WI 54840",NA,715-488-2911,715-448-2911
TOWN OF BLAINE BURNETT COUNTY,07004,http://www.townofblaine.com,1/26/2018,CHARLA ZACCARDI,NA,"1232 E SCHOOL RD, DANBURY, WI 54830","34096 LEE ROAD, DANBURY, WI 54830",715-718-6213,NA
TOWN OF DANIELS BURNETT COUNTY,07006,NA,3/19/2019,LIZ SIMONSEN,NA,"8851 WALDORA RD, SIREN, WI 54872-8755","PO BOX 190 , SIREN, WI 54872- 0190",715-349-2291,NA
TOWN OF DEWEY BURNETT COUNTY,07008,NA,11/2/2017,PAM BROWN,NA,"24433 TOWN HALL RD, SHELL LAKE, WI 54871-9225","1148 SWISS CHALET RD, SHELL LAKE, WI 54871-9225",715-468-1207,715-468-7875
TOWN OF GRANTSBURG -,07010,NA,12/6/2019,TONI CARTER,NA,"216 S OAK ST, GRANTSBURG, BURNETT COUNTY WI 54840","PO BOX 642, GRANTSBURG, WI 54840-0642",715-463-5600,NA
TOWN OF JACKSON BURNETT COUNTY,07012,http://www.townofjacksonwi.com,11/2/2018,LORRAINE RADKE,NA,"4599 COUNTY ROAD A, WEBSTER, WI 54893-8874","4742 COUNTY ROAD A, WEBSTER, WI 54893-8837",715-866-8404,NA
TOWN OF LA FOLLETTE - BURNETT COUNTY,07014,http://www.townoflafollette.com,3/19/2019,LINDA TERRIAN,NA,"24184 MALONE RD, SIREN, WI 54872-8911","23928 MALONE RD, SIREN, WI 54872-8911",715-349-2531,705-349-2531
TOWN OF LINCOLN BURNETT COUNTY,07016,http://townoflincolnbc.com/,6/20/2018,WANDA WASHKUHN,NA,"9110 PERIDA RD, WEBSTER, WI 54893-0296","PO BOX 296, WEBSTER, WI 54893-0296",715-866-4201,NA
TOWN OF MEENON BURNETT COUNTY,07018,NA,4/16/2018,SUZANNA EYTCHESON,NA,"7396 KRUGER RD, WEBSTER, WI 54893-8651","25863 E BASS LAKE DR, WEBSTER, WI 54893-8628",715-866-4893,NA
TOWN OF OAKLAND BURNETT COUNTY,07020,http://www.townofoaklandwi.com,10/22/2018,SHERRIL ANDERSON,NA,"7426 MAIN ST W, WEBSTER, WI 54893-8206","PO BOX 675, WEBSTER, WI 54893-0675",715-866-8213,715-866-4969
TOWN OF ROOSEVELT BURNETT COUNTY,07022,http://townofroosevelt.com,5/13/2019,PATRICIA MINER,NA,"22030 BAKKER RD, SHELL LAKE, WI 54871-8903","2997 COUNTY ROAD EE, SHELL LAKE, WI 54871-8923",715-468-2468,715-468-2468
TOWN OF RUSK BURNETT COUNTY,07024,NA,7/12/2017,BONNIE HARDER,NA,"26985 E BENOIT LAKE LN, SPOONER, WI 54801-8904",NA,715-520-0560,NA
TOWN OF SAND LAKE BURNETT COUNTY,07026,NA,3/25/2019,PEGGY TOLBERT,NA,"5364 COUNTY ROAD X, WEBSTER, WI 54893","P.O. BOX 165, WEBSTER, WI 54893-0165",715-222-9375,NA
TOWN OF SCOTT BURNETT COUNTY,07028,http://townofscottwi.org,11/13/2019,KENNETH BUSBY JR.,NA,"28390 COUNTY ROAD H, SPOONER, WI 54801-8961",NA,715-635-2308,715-635-2035
TOWN OF SIREN BURNETT COUNTY,07030,NA,11/2/2017,MARY HUNTER,NA,"23340 SODERBERG RD, SIREN, WI 54872-9126",NA,715-349-5119,NA
TOWN OF SWISS BURNETT COUNTY,07032,NA,1/26/2018,JUDITH DYKSTRA,NA,"7551 MAIN ST, DANBURY, WI 54830-4405","PO BOX 157, DANBURY, WI 54830-0157",715-656-3030,715-656-7911
TOWN OF TRADE LAKE BURNETT COUNTY,07034,https://tradelakewi.com/,12/23/2019,MELISSA MCQUAY,PATSY TUCKER,"11810 TOWN HALL RD, FREDERIC, WI 54837-9649","13021 BASS LAKE RD, GRANTSBURG, WI 54840",715-220-9399,715-220-9399
TOWN OF UNION BURNETT COUNTY,07036,NA,9/23/2016,KIM S JOHNSON,MARY EIFLER,"9015 COUNTY ROAD F, DANBURY, WI 54830-9121","8302 COUNTY ROAD U, DANBURY, WI 54830",715-566-3286,NA
TOWN OF WEBB LAKE BURNETT COUNTY,07038,http://www.townofwebblake.com,5/13/2019,KENNETH BUSBY JR.,GAIL KEUP,"31000 NAMEKAGON TRAIL, WEBB LAKE, WI 54830-8915",NA,715-259-7139,NA
TOWN OF WEST MARSHLAND - BURNETT,07040,NA,11/2/2017,KERRI HARTER,NA,"12259 COUNTY ROAD F, COUNTY GRANTSBURG, WI 54840-7320","PO BOX 612, GRANTSBURG, WI 54840-0612",715-463-2461,NA
TOWN OF WOOD RIVER - BURNETT COUNTY,07042,NA,8/8/2018,RAYLENE SWANSON,NA,"11626 STATE ROAD 70, GRANTSBURG, WI 54840-7137","24788 RYLANDER RD, GRANTSBURG, WI 54840-7112",715-689-2318,NA
VILLAGE OF GRANTSBURG -,07131,http://www.grantsburgwi.com,3/11/2019,SHEILA MEYER,NA,"316 S BRAD ST, BURNETT COUNTY GRANTSBURG, WI 54840-7944",NA,715-463-2405,715-463-5555
VILLAGE OF SIREN BURNETT COUNTY,07181,NA,11/30/2017,ANN PETERSON,NA,"24049 1ST AVE, SIREN, WI 54872-0023","PO BOX 23, SIREN, WI 54872- 0023",715-349-2273,715-349-2830
VILLAGE OF WEBSTER BURNETT COUNTY,07191,http://www.websterwisconsin.com,3/19/2019,DEB DORIOTT-KUHNLY,NA,"7505 MAIN ST W, WEBSTER, WI 54893-8211","PO BOX 25, WEBSTER, WI 54893-0025",715-866-4211,715-866-4863
TOWN OF BRILLION CALUMET COUNTY,08002,NA,1/3/2018,KAREN JANNETTE,NA,"N8892 RANDOLPH ST, FOREST JCT, WI 54123","PO BOX 216, FOREST JCT, WI 54123-0216",920-756-5363,920-989-1602
TOWN OF BROTHERTOWN -,08004,NA,6/4/2019,LEANNE KARLS,NA,"W3880 SAINT CHARLES RD, CALUMET COUNTY CHILTON, WI 53014-9679","N2445 S TOWER RD, CHILTON, WI 53014-9000",920-418-0949,NA
TOWN OF CHARLESTOWN -,08006,NA,1/2/2018,SHARON ALLEN,NA,"N4503 IRISH RD, CHILTON, WI CALUMET COUNTY 53014-9353",NA,920-849-9774,NA
TOWN OF CHILTON CALUMET COUNTY,08008,https://www.townofchilton.com/,12/6/2019,SHEILA KOEHLER-OAKLEY,NA,"N4695 CTY BB, CHILTON, WI 53014",NA,920-849-4720,920-849-7475
TOWN OF HARRISON CALUMET COUNTY,08010,NA,4/26/2017,JENNIFER WEYENBERG,NA,"W5298 STATE ROAD 114, MENASHA, WI 54952-9637",NA,920-989-1062,920-989-1077
TOWN OF NEW HOLSTEIN - CALUMET,08012,http://townofnewholstein.com,12/8/2017,CHERYL HELLER,NA,"W1465 TECUMSEH RD, NEW COUNTY HOLSTEIN, WI 53061-9544","N1556 SEVEN CORNERS RD, NEW HOLSTEIN, WI 53061-9777",920-898-5538,NA
TOWN OF RANTOUL CALUMET COUNTY,08014,https://townofrantoul.com/,11/11/2019,MARY SCHWARTZ,NA,"309 CENTRAL ST, POTTER, WI 54160","N7001 LONG LAKE RD, BRILLION, WI 54110-9479",920-588-7013,NA
TOWN OF STOCKBRIDGE -,08016,http://www.townofstockbridge.org,12/6/2019,STEVEN PHIPPS,NA,"175 S MILITARY RD, CALUMET COUNTY STOCKBRIDGE, WI 53088","N5024 LONG ROAD, CHILTON,WI 53014",920-418-5709,NA
TOWN OF WOODVILLE CALUMET COUNTY,08018,http://www.townofwoodville.com,6/21/2018,ELLEN PATTERMANN,NA,"W3350 COUNTY ROAD B, HILBERT, WI 54129-9326","W4144 COUNTY ROAD B, HILBERT, WI 54129-9326",920-507-0274,920-507-0274
VILLAGE OF HARRISON MULTIPLE COUNTIES,08131,http://www.townofharrison.org/,12/8/2017,JENNIFER WEYENBERG,CARIE KRAUSE,"W5298 STATE ROAD 114, MENASHA, WI 54952-9637",NA,920-989-1062,920-989-1077
VILLAGE OF HILBERT CALUMET COUNTY,08136,http://www.villageofhilbert.com,12/15/2017,DENNIS G DUPREY,MARISSA KIESO,"26 N 6TH ST, HILBERT, WI 54129-9593","PO BOX 266, HILBERT, WI 54129-0266",920-853-3241,920-853-3515
VILLAGE OF POTTER CALUMET COUNTY,08160,https://villageofpotter.com/,1/8/2020,DENNIS GRUETT,NA,"309 CENTERAL ST, POTTER, WI 54160","PO BOX 162, POTTER, WI 54160 -0162",920-853-3323,NA
VILLAGE OF SHERWOOD - CALUMET,08179,https://www.villageofsherwood.org/,11/19/2019,RANDY FRIDAY,KATHY MADER,"W482 CLIFTON RD, SHERWOOD, WI 54169-9767",NA,920-989-1589,920-989-4084
VILLAGE OF STOCKBRIDGE -,08181,http://villageofstockbridge.org/,12/6/2019,BOBBI REEDY,NA,"116 S MILITARY RD, CALUMET COUNTY STOCKBRIDGE, WI 53088-0292","PO BOX 292, STOCKBRIDGE, WI 53088-0292",920-439-1700,NA
CITY OF BRILLION CALUMET COUNTY,08206,https://www.ci.brillion.wi.us/,5/17/2019,LORI GOSZ,JOY BUBOLTZ,"130 CALUMET ST, BRILLION, WI 54110-1118",NA,920-756-2250,920-756-2351
CITY OF CHILTON CALUMET COUNTY,08211,NA,12/20/2017,HELEN SCHMIDLKOFER,LISA MEYER,"42 SCHOOL ST, CHILTON, WI 53014-1346",NA,920-849-2451,920-849-2025
CITY OF NEW HOLSTEIN - CALUMET COUNTY,08261,http://www.ci.new-holstein.wi.us,10/16/2017,CASSANDRA E LANGENFELD,LORI BECK,"2110 WASHINGTON ST, NEW HOLSTEIN, WI 53061-1045",NA,920-898-5766,920-898-5879
TOWN OF ANSON CHIPPEWA COUNTY,09002,NA,11/2/2017,JENNIFER JENSEN,NA,"13836 COUNTY HIGHWAY S S, JIM FALLS, WI 54748-1619","16827 105TH AVE, CHIPPEWA FALLS, WI 54729",715-579-1648,NA
TOWN OF ARTHUR CHIPPEWA COUNTY,09004,http://www.townofarthur.com/,12/6/2019,MARY SIKORA,NA,"25091 COUNTY HWY S, CADOTT, WI 54727-5007","23574 170TH AVE, CADOTT, WI 54727",715-579-4351,NA
TOWN OF AUBURN CHIPPEWA COUNTY,09006,https://townofauburn.net/,8/20/2019,KATIE LINDSLEY,JUDY MISNER,"3826 STATE HIGHWAY 64, BLOOMER, WI 54724-3992","1515 6TH AVE, BLOOMER, WI 54724",715-828-5775,NA
TOWN OF BIRCH CREEK - CHIPPEWA COUNTY,09008,NA,2/20/2019,ROBIN STENDER,NA,"26344 240TH ST, HOLCOMBE, WI 54745-5706",NA,715-595-4996,715-595-4996
TOWN OF BLOOMER CHIPPEWA COUNTY,09010,NA,11/2/2017,ROXANNE GEURKINK,NA,"22943 COUNTY HIGHWAY SS, NEW AUBURN, WI 54757-5713","8905 STATE HIGHWAY64, BLOOMER, WI 54724-6131",715-568-4409,NA
TOWN OF CLEVELAND CHIPPEWA COUNTY,09012,NA,1/5/2018,LINDA LAIRD,SUZANNE LAIRD,"20165 COUNTY Z, CORNELL, WI 54732",NA,715-239-3922,NA
TOWN OF COLBURN CHIPPEWA COUNTY,09014,NA,1/19/2018,KATHY YEAGER,NA,"18476 COUNTY HIGHWAY S N, STANLEY, WI 54768","32475 186TH AVE, BOYD, WI 54726",715-703-9075,NA
TOWN OF COOKS VALLEY - CHIPPEWA,09016,http://cv1927.bloomertel.net/,12/6/2019,VICTORIA FREEBERG,NA,"15751 40TH STREET, COUNTY BLOOMER, WI 54724","2195 135TH AVE, COLFAX, WI 54730",715-704-9171,NA
TOWN OF DELMAR CHIPPEWA COUNTY,09018,NA,11/27/2019,JULIE KRCMA-PETERSON,NA,"11183 320TH ST, BOYD, WI 54726","32400 COUNTY ROAD X, BOYD, WI 54726",608-609-7115,NA
TOWN OF EAGLE POINT - CHIPPEWA COUNTY,09020,NA,5/30/2019,LAURIE HEBERT,NA,"14802 STATE HIGHWAY 124, CHIPPEWA FLS, WI 54729-6139",NA,715-288-6770,715-288-6790
TOWN OF EDSON CHIPPEWA COUNTY,09022,NA,5/14/2019,MARIE WILBUR,NA,"2376 COUNTY HIGHWAY G, BOYD, WI 54726-5949",NA,715-644-2597,(715) 667-3417
TOWN OF ESTELLA CHIPPEWA COUNTY,09024,NA,4/22/2019,LISA M WESTMAN,NA,"22111 270TH STREET, CORNELL, WI 54732","21870 COUNTY ROAD EE, CORNELL, WI 54732",715-312-0071,NA
TOWN OF GOETZ CHIPPEWA COUNTY,09026,NA,9/12/2019,TAMEE FOLDY,NA,"8985 257TH ST, CADOTT, WI 54727","P.O. BOX 147, CADOTT, WI 54727-0147",715-828-0012,NA
TOWN OF HALLIE CHIPPEWA COUNTY,09028,NA,1/5/2018,JOHN R ANDERSEN,NA,"13034 30TH AVE, CHIPPEWA FLS, WI 54729-7376",NA,715-723-3085,715-726-2661
TOWN OF HOWARD CHIPPEWA COUNTY,09032,http://www.chip-howard-wi.org,2/16/2018,SUSAN HAAKE,NA,"4052 COUNTY HIGHWAY B, COLFAX WI 54730","9750 30TH ST, COLFAX, WI 54730-2350",715-874-5259,715-874-5259
TOWN OF LAFAYETTE CHIPPEWA COUNTY,09034,http://www.lafayettetownship.org,1/19/2018,LAURA KONWINSKI,KATHIE KURSHINSKY,"5765 197TH ST, CHIPPEWA FLS, WI 54729-9128",NA,715-723-7692,715-723-7692
TOWN OF LAKE HOLCOMBE - CHIPPEWA,09035,NA,11/2/2017,TRACY LARSON,ANNELEISE WILLMARTH,"26194 276th St, Hlcombe, WI 54745","PO BOX 280, Holcombe, WI 54745-0280",715-595-6586,NA
TOWN OF RUBY CHIPPEWA COUNTY,09036,NA,3/18/2019,JOY JONES,NA,"33150 280TH AVE, SHELDON, WI 54766-5634","31700 COUNTY HIGHWAY M, HOLCOMBE, WI 54745-5552",715-452-5657,715-452-5657
TOWN OF SAMPSON CHIPPEWA COUNTY,09038,http://tn.sampson.wi.gov/,11/2/2017,VEDA REED,JANICE JERABEK,"10770 270TH AVE, NEW AUBURN, WI 54757-8017","10040 270TH AVE, NEW AUBURN, WI 54757-8016",715-967-2050,715-967-2629
TOWN OF SIGEL CHIPPEWA COUNTY,09040,NA,3/19/2019,PAULA KROUSE,NA,"25619 50TH AVE, CADOTT, WI 54727-4801",NA,715-289-3429,NA
TOWN OF TILDEN CHIPPEWA COUNTY,09042,http://www.townoftilden.com,3/19/2019,STEVEN PLENDL,NA,"10790 100TH AVE, CHIPPEWA FALLS, WI 54729-6237","12193 120TH AVE.,CHIPPEWA FALLS, WI 54729-6218",715-529-7438,NA
TOWN OF WHEATON CHIPPEWA COUNTY,09044,http://www.townofwheaton.com/,3/2/2018,SCOTT DEUTSCHER,NA,"4975 COUNTY HIGHWAY T, CHIPPEWA FALLS, WI 54729",NA,715-874-5982,715-874-5395
TOWN OF WOODMOHR CHIPPEWA COUNTY,09046,NA,1/10/2020,VANESSA LAMEER,NA,"16738 125TH ST, BLOOMER, WI 54724","15287 110TH ST, BLOOMER, WI 54724",715-450-2549,NA
VILLAGE OF BOYD CHIPPEWA COUNTY,09106,NA,3/18/2019,SANDRA ISAACS,SARA MC CULLICK,"705 E MURRAY ST, BOYD, WI 54726-9068","PO BOX 8, BOYD, WI 54726- 9068-0008",715-667-3420,715-667-3410
VILLAGE OF CADOTT CHIPPEWA COUNTY,09111,http://villageofcadott.com/,9/5/2019,SANDRA BUETOW,JANICE CHRISTIE,"110 N CENTRAL ST, CADOTT WI 54727-9143","PO BOX 40, CADOTT, WI 54727- 0040",715-289-4282,715-289-3737
VILLAGE OF LAKE HALLIE - CHIPPEWA,09128,http://lakehallie.us/,1/3/2020,KRIS FITZSIMMONS,JODIE A OLSON,"13136 30TH AVE, CHIPPEWA FLS, WI 54729-7377",NA,715-726-2660 EXT 3,NA
VILLAGE OF NEW AUBURN - MULTIPLE,09161,http://newauburn-wi.com,5/17/2017,PEGGY STANFORD,PEG PAULSEN,"130 E ELM ST, NEW AUBURN, WI 54757","PO BOX 100, NEW AUBURN, WI 54757-0100",715-237-2223,715-237-2334
CITY OF BLOOMER CHIPPEWA COUNTY,09206,http://www.ci.bloomer.wi.us,3/23/2017,SANDI FRION,DEBBIE LAGESSE,"1503 MAIN ST, BLOOMER, WI 54724-1640",NA,715-568-3032,715-568-3969
CITY OF CHIPPEWA FALLS - CHIPPEWA,09211,http://www.chippewafalls-wi.gov/,8/29/2018,BRIDGET GIVENS,JENNIFER PETERSON,"30 W CENTRAL ST, CHIPPEWA FLS, WI 54729-7530",NA,715-726-2719,715-726-2759
CITY OF CORNELL CHIPPEWA COUNTY,09213,http://cityofcornell.com/,5/8/2019,DAVID E DE JONGH,MELISSA OUELLETTE,"102 N 3RD ST, CORNELL WI 54732-0796","P.O. BOX 796, CORNELL, WI 54732-8056",715-239-3710,715-239-3721
CITY OF STANLEY MULTIPLE COUNTIES,09281,https://www.stanleywisconsin.us/,12/6/2019,CYNDI BERGMAN,NA,"353 S BROADWAY ST, STANLEY, WI 5476","PO BOX 155, STANLEY, WI 54768-0155",715-644-5758,715-644-5705
TOWN OF BEAVER CLARK COUNTY,10002,NA,10/24/2016,KIRK HASLOW,NA,"W3742 CAPITAL RD, LOYAL, WI 54446-9100","W2715 CENTURY RD, LOYAL, WI 54446",715-255-8812,NA
TOWN OF BUTLER CLARK COUNTY,10004,NA,1/3/2020,JANICE KRZYZANOWSKI,NA,"W10098 CAPITAL RD, THORP, WI 54771","W9915 COUNTY ROAD MM, THORP, WI 54771-8106",715-669-5004,NA
TOWN OF COLBY CLARK COUNTY,10006,NA,11/2/2018,THEOLINE LUDWIG,NA,"N13295 BADGER AVE, COLBY, WI 54421-9061","N12644 BADGER AVE, COLBY, WI 54421-9066",715-223-3031 EXT,715-223-1194
TOWN OF DEWHURST CLARK COUNTY,10008,NA,5/24/2019,HELEN E. BOHAC,NA,"N235 COUNTY ROAD J, MERRILLAN, WI 54754-7907",NA,715-743-3680,NA
TOWN OF EATON CLARK COUNTY,10010,NA,3/15/2019,MICHELLE LUCAS,NA,"W5937 DOVE RD, GREENWOOD, WI 54437-7725",NA,715-267-7691,NA
TOWN OF FOSTER CLARK COUNTY,10012,NA,11/30/2018,CAROL POEHNLEIN,NA,"N8482 HAY CREEK RD, WILLARD WI 54493-8900","N8875 BERNYCE LN, WILLARD, WI 54493-8909",715-267-4538,608-267-4244
TOWN OF FREMONT CLARK COUNTY,10014,http://www.townoffremont.com,6/18/2018,YVONNE SCHULTZ,NA,"N5671 OAK ST, CHILI, WI 54420-9204","PO BOX 96, CHILI, WI 54420- 0096",715-683-2678,NA
TOWN OF GRANT CLARK COUNTY,10016,NA,10/31/2018,TAMMY MARTY,CAROL HILLERT,"W3696 RIDGE RD, GRANTON, WI 54436-8760","W4645 SAND RD, NEILLSVILLE, WI 54456-6113",715-743-4143,NA
TOWN OF GREEN GROVE - CLARK,10018,NA,11/2/2018,DAWN BROSSOW,NA,"N12865 SPARROW AVE, COUNTY OWEN, WI 54460-8147","N14361 CARDINAL AVE, OWEN, WI 54460-8770",715-229-2129,NA
TOWN OF HENDREN CLARK COUNTY,10020,NA,6/14/2018,MOLLY LUTHER,NA,"W8178 Dove Rd, Willard, WI 54493","W9331 Rock Creek Rd, Willard, WI 54493-9028",715-267-6266,NA
TOWN OF HEWETT CLARK COUNTY,10022,NA,3/19/2019,KATHIE SMITH,NA,"W7498 ARNDT RD, NEILLSVILLE, WI 54456-7825","PO BOX 365, NEILLSVILLE, WI 54456-0365",715-743-2248,715-743-3888
TOWN OF HIXON CLARK COUNTY,10024,NA,1/8/2020,TRACY RAU,NA,"N16004 FRENCHTOWN AVE, WITHEE, WI 54498","W6509 COUNTY ROAD X, WITHEE, WI 54498",715-316-2296,NA
TOWN OF HOARD CLARK COUNTY,10026,NA,1/15/2020,BECKY POTOCNIK,SARA FISCHER,"W3715 CENTER RD, OWEN, WI 54460-8918","W3938 BRIDGE RD, OWEN, WI 54460",715-551-0551,NA
TOWN OF LEVIS CLARK COUNTY,10028,NA,1/9/2018,JANICE SHILTS,NA,"W6351 BRYAN AVE, NEILLSVILLE, WI 54456-6840",NA,715-743-6534,NA
